,customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday,order_number,line_item,order_date,delivery_date,storekey,productkey,quantity,currency_code,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
0,51314,Female,Bianca Stobie,DUVERNEY,VIC,Victoria,3323,Australia,Australia,1954-06-23,1513036,2,2019-02-21,Not Delivered,5,53,7,AUD,2019-02-21,AUD,1.4065,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296.0,104,Recording Pen,1,Audio,2000.0,2015-12-09
1,128305,Male,Harrison Martinovich,MONOMEITH,VIC,Victoria,3984,Australia,Australia,1953-08-25,1960000,2,2020-05-13,Not Delivered,5,443,2,AUD,2020-05-13,AUD,1.5344,WWI Desktop PC3.0 M0300 Silver,Wide World Importers,Silver,160.49,349.0,303,Desktops,3,Computers,2000.0,2015-12-09
2,1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,1879087,3,2020-02-22,Not Delivered,5,418,4,AUD,2020-02-22,AUD,1.515,Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Silver,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
3,180678,Female,Sara Plant,WARRENMANG,VIC,Victoria,3478,Australia,Australia,1966-04-03,1144030,3,2018-02-17,Not Delivered,5,418,1,AUD,2018-02-17,AUD,1.2592,Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Silver,137.63,269.95,303,Desktops,3,Computers,2000.0,2015-12-09
4,6308,Male,Taj Sexton,KOOREH,VIC,Victoria,3478,Australia,Australia,2001-02-15,1647026,2,2019-07-05,Not Delivered,5,75,4,AUD,2019-07-05,AUD,1.426,NT Bluetooth Active Headphones E202 White,Northwind Traders,White,17.45,37.95,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
5,108311,Male,Cooper Evans,BERRINGAMA,VIC,Victoria,3691,Australia,Australia,1963-02-15,1704009,1,2019-08-31,Not Delivered,5,75,8,AUD,2019-08-31,AUD,1.4859,NT Bluetooth Active Headphones E202 White,Northwind Traders,White,17.45,37.95,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
6,166813,Female,Georgia Tarczynski,Chelsea,VIC,Victoria,3196,Australia,Australia,1943-03-13,1043009,1,2017-11-08,Not Delivered,5,75,2,AUD,2017-11-08,AUD,1.3023,NT Bluetooth Active Headphones E202 White,Northwind Traders,White,17.45,37.95,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
7,88897,Male,Nicholas Dunlop,BARWITE,VIC,Victoria,3722,Australia,Australia,1988-10-15,1644016,1,2019-07-02,Not Delivered,5,1572,7,AUD,2019-07-02,AUD,1.4295,SV DVD Player M110 Silver,Southridge Video,Silver,26.67,57.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
8,78578,Male,Hamish Garrick,NICHOLSON,VIC,Victoria,3882,Australia,Australia,1983-01-17,1834039,2,2020-01-08,Not Delivered,5,1447,1,AUD,2020-01-08,AUD,1.457,The Phone Company Touch Screen Phones SAW/Built-in M801 Gold,The Phone Company,Gold,137.5,299.0,503,Touch Screen Phones,5,Cell phones,2000.0,2015-12-09
9,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,1,2020-01-04,Not Delivered,5,1171,1,AUD,2020-01-04,AUD,1.4381,Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 White,Fabrikam,White,301.21,655.0,405,Camcorders,4,Cameras and camcorders,2000.0,2015-12-09
10,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,2,2020-01-04,Not Delivered,5,1609,2,AUD,2020-01-04,AUD,1.4381,SV DVD 14-Inch Player Portable L100 Silver,Southridge Video,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
11,157872,Female,Angelina Hirschfeld,FORBES,VIC,Victoria,3764,Australia,Australia,1983-08-12,1363007,1,2018-09-24,Not Delivered,5,1609,3,AUD,2018-09-24,AUD,1.3749,SV DVD 14-Inch Player Portable L100 Silver,Southridge Video,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
12,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,3,2020-01-04,Not Delivered,5,1699,3,AUD,2020-01-04,AUD,1.4381,SV Hand Games men M30 Red,Southridge Video,Red,3.16,6.88,701,Boxed Games,7,Games and Toys,2000.0,2015-12-09
13,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,4,2020-01-04,Not Delivered,5,1223,3,AUD,2020-01-04,AUD,1.4381,Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black,Fabrikam,Black,234.52,460.0,405,Camcorders,4,Cameras and camcorders,2000.0,2015-12-09
14,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,5,2020-01-04,Not Delivered,5,1329,1,AUD,2020-01-04,AUD,1.4381,Contoso Phone with 13-Number Memory (210) M301 Black,Contoso,Black,7.81,16.99,501,Home & Office Phones,5,Cell phones,2000.0,2015-12-09
15,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,6,2020-01-04,Not Delivered,5,105,1,AUD,2020-01-04,AUD,1.4381,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Pink,52.88,115.0,106,Bluetooth Headphones,1,Audio,2000.0,2015-12-09
16,65269,Female,Scarlett Roach,BARWIDGEE,VIC,Victoria,3737,Australia,Australia,1941-01-24,1830087,7,2020-01-04,Not Delivered,5,1357,4,AUD,2020-01-04,AUD,1.4381,Contoso Private Automatic Branch Exchange M65 White,Contoso,White,17.93,38.99,501,Home & Office Phones,5,Cell phones,2000.0,2015-12-09
17,109977,Male,Rory Howse,BENDIGO FORWARD,VIC,Victoria,3551,Australia,Australia,1947-01-06,1830069,1,2020-01-04,Not Delivered,5,2169,2,AUD,2020-01-04,AUD,1.4381,Fabrikam Coffee Maker 4C E080 Black,Fabrikam,Black,66.23,129.9,805,Coffee Machines,8,Home Appliances,2000.0,2015-12-09
18,109977,Male,Rory Howse,BENDIGO FORWARD,VIC,Victoria,3551,Australia,Australia,1947-01-06,1830069,2,2020-01-04,Not Delivered,5,1619,1,AUD,2020-01-04,AUD,1.4381,Contoso DVD Player M130 Grey,Contoso,Grey,27.59,59.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
19,128305,Male,Harrison Martinovich,MONOMEITH,VIC,Victoria,3984,Australia,Australia,1953-08-25,1960000,3,2020-05-13,Not Delivered,5,1619,7,AUD,2020-05-13,AUD,1.5344,Contoso DVD Player M130 Grey,Contoso,Grey,27.59,59.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
20,143033,Male,Mitchell Woodriff,DONCASTER EAST,VIC,Victoria,3109,Australia,Australia,2001-11-30,1599033,1,2019-05-18,Not Delivered,5,1581,3,AUD,2019-05-18,AUD,1.4535,SV DVD Recorder L240 Gold,Southridge Video,Gold,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
21,157872,Female,Angelina Hirschfeld,FORBES,VIC,Victoria,3764,Australia,Australia,1983-08-12,1363007,4,2018-09-24,Not Delivered,5,1581,8,AUD,2018-09-24,AUD,1.3749,SV DVD Recorder L240 Gold,Southridge Video,Gold,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
22,154891,Male,Jake Rumsey,BALMATTUM,VIC,Victoria,3666,Australia,Australia,1957-11-08,1739037,2,2019-10-05,Not Delivered,5,1648,1,AUD,2019-10-05,AUD,1.4798,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,56.08,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2015-12-09
